image_id,species,breed,age,sex,class,group,weight,shoulder_height,chest_size,BCS,neck_size,back_length,exercise,food_count,food_amount,snack_amount
cat_aug_66,20,cat_SCO,8.2,SF,LH,SL,4.5,19.9,37.4,7,26.2,30.4,3,4,0.5,1.2
cat_aug_67,20,cat_ETC,3.6,SF,LH,SL,3.3,19.6,42.2,4,21.0,32.8,3,2,0.69,19.1
cat_aug_68,20,cat_TUR,7.9,IM,LH,ML,4.9,36.6,39.3,3,26.4,51.2,2,4,2.01,0.2
cat_aug_69,20,cat_ETC,3.2,SF,SH,ML,3.8,22.0,35.8,4,25.6,36.7,3,2,1.0,20.0
cat_aug_70,20,cat_KOR,6.9,SF,UK,ML,3.6,25.2,41.6,7,19.2,45.5,3,2,1.17,20.0
cat_aug_71,20,cat_KOR,5.2,SF,LH,ML,4.9,18.7,33.2,7,18.7,34.4,2,2,0.88,19.5
cat_aug_72,20,cat_KOR,8.5,CM,LH,SS,2.5,21.2,25.4,4,20.7,30.0,3,2,0.92,20.0
cat_aug_73,20,cat_ETC,4.1,SF,LH,ML,3.6,17.0,31.1,4,20.2,31.1,3,2,0.65,19.9
cat_aug_74,20,cat_PER,3.9,SF,LH,SL,3.9,15.1,32.5,4,23.3,25.7,3,2,0.52,11.4
cat_aug_75,20,cat_PER,11.9,SF,UK,ML,3.3,19.0,30.9,4,19.4,37.3,2,2,0.91,20.0
cat_aug_76,20,cat_ETC,5.0,SF,LH,SL,2.8,35.1,38.6,4,28.0,32.5,3,4,0.96,20.0
cat_aug_77,20,cat_KOR,6.2,CM,SH,MS,3.5,14.1,39.3,2,27.0,24.9,2,4,1.64,2.6
cat_aug_78,20,cat_KOR,6.1,CM,UK,MS,5.2,23.9,39.1,3,22.8,40.6,1,4,1.52,3.5
cat_aug_79,20,cat_PER,3.9,CM,LH,SL,5.2,25.2,34.2,5,20.1,40.6,3,4,0.88,4.5
cat_aug_80,20,cat_SCO,7.3,SF,LH,SL,2.4,16.5,29.6,5,17.9,22.0,3,2,0.85,0.4
cat_aug_81,20,cat_KOR,4.4,SF,LH,SL,4.2,25.5,34.9,4,27.2,35.8,3,2,0.69,20.0
cat_aug_82,20,cat_KOR,4.7,CM,LH,SL,2.8,20.6,32.5,4,21.8,25.7,3,2,0.59,19.9
cat_aug_83,20,cat_ETC,1.6,SF,LH,MS,2.2,20.9,30.7,4,21.9,35.2,3,2,0.51,20.0
cat_aug_84,20,cat_KOR,3.3,SF,LH,SL,2.8,15.9,30.4,4,19.8,26.6,3,2,0.57,16.5
cat_aug_85,20,cat_ETC,0.2,CM,LH,SL,2.4,25.3,30.8,4,25.9,47.5,3,2,0.52,19.3
cat_aug_86,20,cat_KOR,0.9,CM,UK,ML,3.4,20.7,35.2,4,28.2,32.2,3,2,2.04,20.0
cat_aug_87,20,cat_ETC,3.3,SF,LH,MS,2.3,17.1,32.5,4,23.1,27.3,3,2,0.78,20.0
cat_aug_88,20,cat_KOR,4.8,CM,LH,SL,4.5,26.3,39.1,3,25.2,29.6,3,2,0.64,2.1
cat_aug_89,20,cat_ETC,1.5,CM,LH,SL,3.1,22.1,31.2,4,26.5,41.7,2,2,0.55,1.8
cat_aug_90,20,cat_TUR,6.2,CM,SH,ML,5.8,24.8,45.0,5,30.5,34.4,2,4,0.55,2.0
cat_aug_91,20,cat_ETC,9.8,CM,LH,SL,3.9,21.2,42.9,5,23.4,30.4,1,4,1.07,8.1
cat_aug_92,20,cat_ETC,3.2,CM,SH,SL,3.6,23.2,38.9,4,25.3,49.2,3,2,1.07,20.0
cat_aug_93,20,cat_KOR,9.6,SF,LH,ML,3.7,29.7,41.2,5,24.4,31.1,1,2,0.9,11.8
cat_aug_94,20,cat_KOR,4.0,SF,LH,SL,2.7,22.4,33.0,5,26.4,32.9,3,4,0.66,20.0
cat_aug_95,20,cat_KOR,6.2,CM,LH,ML,3.4,21.6,34.2,7,21.5,27.2,2,4,1.45,19.9
cat_aug_96,20,cat_ETC,10.4,IF,LH,ML,3.8,24.7,35.9,4,24.6,45.1,3,2,1.24,20.0
cat_aug_97,20,cat_TUR,5.3,IM,SH,MS,3.2,16.3,34.9,4,20.2,21.5,3,4,0.56,0.9
cat_aug_98,20,cat_SIA,5.6,SF,LH,SL,5.1,20.5,38.6,9,22.1,34.4,3,4,0.78,5.1
cat_aug_99,20,cat_ETC,0.9,CM,LH,SL,3.4,22.5,27.1,4,27.0,34.4,3,2,0.6,19.4
cat_aug_100,20,cat_ETC,5.5,SF,LH,ML,2.1,19.0,25.0,4,17.5,25.0,2,4,0.67,18.5
cat_aug_101,20,cat_ETC,3.8,IM,LH,SL,2.4,25.3,30.7,4,24.9,29.8,3,4,0.7,20.0
cat_aug_102,20,cat_RUS,1.0,CM,SH,ML,4.7,20.0,36.6,7,24.0,31.4,3,2,0.82,13.1
cat_aug_103,20,cat_KOR,10.1,SF,LH,SL,4.1,23.9,37.3,7,17.6,33.5,3,4,0.88,0.0
cat_aug_104,20,cat_TUR,7.6,CM,UK,MS,5.2,21.3,39.8,4,21.5,31.6,1,4,0.73,15.8
cat_aug_105,20,cat_KOR,5.4,IF,UK,ML,2.2,23.3,25.3,4,20.6,30.0,3,2,2.11,20.0
cat_aug_106,20,cat_SIA,1.5,SF,LH,ML,5.5,24.0,38.0,4,27.9,40.0,2,2,0.82,20.0
cat_aug_107,20,cat_KOR,2.9,SF,LH,SL,3.5,19.4,31.2,4,24.6,32.9,3,2,0.53,20.0
cat_aug_108,20,cat_KOR,2.0,SF,LH,MS,3.0,14.6,25.0,5,16.1,26.2,2,2,0.62,1.0
cat_aug_109,20,cat_KOR,7.1,SF,LH,SL,4.2,27.9,42.8,4,28.9,33.5,3,2,1.44,20.0
cat_aug_110,20,cat_RUS,2.8,SF,LH,SL,2.8,26.5,32.8,4,29.7,29.6,3,2,0.59,20.0
cat_aug_111,20,cat_KOR,6.0,SF,LH,MS,2.5,22.7,27.1,4,21.5,32.0,3,2,1.61,20.0
cat_aug_112,20,cat_TUR,9.9,SF,LH,SL,2.5,18.2,33.9,4,30.8,28.6,3,4,1.14,1.3
cat_aug_113,20,cat_KOR,6.4,SF,LH,SL,4.1,18.1,34.3,4,21.5,29.1,2,2,0.91,16.6
cat_aug_114,20,cat_ETC,3.2,CM,LH,MS,4.1,20.3,32.1,4,24.0,47.1,3,4,0.8,20.0
cat_aug_115,20,cat_SCO,1.4,IM,LH,SL,4.0,22.2,31.2,5,19.0,30.8,2,4,0.68,0.1
cat_aug_116,20,cat_ETC,7.5,CM,SH,ML,4.1,17.5,34.8,4,23.4,24.3,3,2,0.74,20.0
cat_aug_117,20,cat_KOR,3.2,CM,LH,SL,4.1,35.7,31.9,5,30.3,39.9,2,4,1.12,20.0
cat_aug_118,20,cat_KOR,4.2,SF,LH,SL,4.0,19.5,32.8,3,21.0,34.6,1,4,0.63,0.0
cat_aug_119,20,cat_ETC,4.0,SF,LH,MS,3.4,22.8,30.0,4,24.0,28.6,3,2,0.58,16.2
cat_aug_120,20,cat_KOR,3.3,CM,LH,SL,3.1,23.4,35.0,5,25.1,23.6,1,2,0.54,0.5
cat_aug_121,20,cat_TUR,2.3,CM,UK,ML,5.6,33.5,41.0,4,27.3,42.4,3,2,0.6,19.9
cat_aug_122,20,cat_RUS,2.8,SF,LH,ML,2.0,17.0,27.9,4,23.0,26.5,3,2,0.61,20.0
cat_aug_123,20,cat_ETC,5.2,SF,SH,ML,2.2,19.6,28.6,5,17.3,27.6,2,2,0.8,19.9
cat_aug_124,20,cat_SIA,5.4,CM,LH,SL,6.3,25.9,45.9,5,29.9,41.8,3,4,2.33,19.9
cat_aug_125,20,cat_ETC,1.8,SF,LH,ML,3.0,25.3,32.6,4,22.2,26.2,3,2,0.86,20.0
cat_aug_126,20,cat_KOR,5.6,SF,LH,ML,4.9,15.8,41.4,5,26.2,23.2,2,4,0.72,5.9
cat_aug_127,20,cat_KOR,3.2,SF,SH,SS,3.2,14.0,30.2,7,18.6,20.0,3,4,0.56,0.7
cat_aug_128,20,cat_ETC,1.2,SF,LH,ML,3.8,28.9,35.6,4,25.1,30.2,3,2,1.09,20.0
cat_aug_129,20,cat_SIA,6.7,CM,SH,SL,3.3,19.9,27.8,6,16.9,27.0,3,2,0.59,18.8
cat_aug_130,20,cat_ETC,5.1,SF,LH,ML,2.8,29.3,30.0,5,23.0,40.1,2,2,0.84,19.7
cat_aug_131,20,cat_TUR,2.2,SF,LH,SL,2.3,34.9,27.8,4,22.7,34.6,2,2,0.73,2.1
cat_aug_132,20,cat_SCO,6.8,CM,SH,ML,4.7,22.5,38.8,7,25.0,42.6,3,2,1.97,20.0
cat_aug_133,20,cat_PER,5.2,IM,UK,SS,5.2,23.1,30.8,5,19.7,41.8,1,2,0.85,0.3
cat_aug_134,20,cat_PER,7.6,CM,UK,SS,5.2,18.0,36.9,3,20.5,25.5,3,4,0.71,0.2
cat_aug_135,20,cat_ETC,2.4,SF,LH,SL,4.2,26.6,39.5,4,28.1,44.0,3,4,0.79,19.6
cat_aug_136,20,cat_KOR,5.9,CM,UK,SS,6.8,21.4,37.4,2,23.3,30.9,1,2,1.66,7.5
cat_aug_137,20,cat_KOR,2.6,CM,SH,ML,3.8,24.5,35.3,4,24.5,36.0,2,2,0.61,20.0
cat_aug_138,20,cat_ETC,9.1,SF,LH,SL,2.0,21.1,29.4,4,18.4,27.8,3,2,0.58,20.0
cat_aug_139,20,cat_SIA,4.6,SF,UK,SL,4.5,15.3,42.3,4,22.7,29.7,3,2,0.61,6.8
cat_aug_140,20,cat_ETC,2.6,IF,LH,ML,4.5,18.9,36.8,4,20.7,30.9,3,2,0.91,20.0
cat_aug_141,20,cat_ETC,4.2,SF,LH,SL,4.3,31.5,36.5,4,27.2,33.8,3,2,0.68,18.1
cat_aug_142,20,cat_ETC,1.1,SF,LH,SL,3.7,19.4,33.6,4,16.0,29.4,3,4,0.56,16.5
cat_aug_143,20,cat_SCO,4.6,SF,SH,SS,6.0,23.1,40.9,3,26.7,27.1,3,4,0.64,19.0
cat_aug_144,20,cat_KOR,6.5,IM,UK,SL,3.2,16.7,35.1,4,17.9,32.8,1,2,0.8,0.2
cat_aug_145,20,cat_ETC,5.3,SF,LH,MS,4.9,30.5,39.5,4,22.7,31.6,3,2,0.7,19.9
cat_aug_146,20,cat_KOR,6.4,SF,LH,SL,3.2,13.3,29.1,5,16.0,30.6,1,4,0.75,0.1
cat_aug_147,20,cat_SIA,3.4,CM,SH,MS,4.6,22.9,39.6,2,23.6,28.2,3,4,1.46,18.7
cat_aug_148,20,cat_ETC,6.2,IM,LH,SL,4.3,30.7,36.7,4,28.2,33.5,3,2,0.88,16.9
cat_aug_149,20,cat_ETC,5.2,CM,LH,SL,5.3,23.7,37.7,4,23.2,28.1,2,4,0.64,8.4
cat_aug_150,20,cat_KOR,4.0,SF,LH,ML,2.7,37.9,31.6,4,28.6,34.3,3,2,0.99,20.0
cat_aug_151,20,cat_TUR,9.6,SF,UK,SL,2.4,14.6,31.3,3,17.3,24.3,3,4,1.3,11.9
cat_aug_152,20,cat_ETC,3.9,SF,UK,ML,5.0,27.5,39.7,4,28.7,54.0,3,4,0.63,20.0
cat_aug_153,20,cat_KOR,0.9,SF,SH,ML,5.4,22.9,31.5,5,27.6,42.2,3,2,0.8,20.0
cat_aug_154,20,cat_KOR,6.0,CM,LH,ML,4.9,21.0,33.2,4,22.7,31.3,3,2,1.2,20.0
cat_aug_155,20,cat_ETC,1.9,SF,SH,ML,3.5,20.2,34.6,4,19.2,38.7,3,2,0.61,16.3
cat_aug_156,20,cat_KOR,5.4,IF,SH,ML,3.5,16.3,26.0,2,19.2,25.0,1,4,0.75,0.8
cat_aug_157,20,cat_KOR,3.1,IF,LH,ML,4.0,20.1,34.6,4,20.6,38.7,3,2,0.84,16.1
cat_aug_158,20,cat_RUS,6.2,SF,UK,ML,4.1,22.3,34.8,4,23.3,34.0,2,2,0.53,19.9
cat_aug_159,20,cat_ETC,4.4,SF,SH,ML,3.2,27.3,30.9,4,22.1,26.1,3,2,0.79,19.9
cat_aug_160,20,cat_ETC,9.2,SF,UK,SS,5.3,21.2,40.9,4,21.5,35.1,2,2,0.76,19.8
cat_aug_161,20,cat_TUR,7.4,CM,LH,ML,6.1,15.1,41.9,3,19.7,32.4,1,4,2.49,0.4
cat_aug_162,20,cat_SCO,2.6,CM,LH,SS,4.8,34.2,38.4,4,32.3,40.4,3,2,0.5,20.0
cat_aug_163,20,cat_ETC,3.1,SF,LH,SS,4.0,31.8,29.7,4,27.9,34.4,3,2,0.91,20.0
cat_aug_164,20,cat_KOR,4.9,CM,LH,SS,4.8,20.9,30.4,2,17.8,27.3,2,2,0.69,6.7
cat_aug_165,20,cat_ETC,3.6,SF,LH,SS,2.4,25.2,28.4,4,22.2,42.2,3,2,1.2,20.0
cat_aug_166,20,cat_ETC,1.6,IM,SH,ML,4.8,16.6,35.4,4,16.0,28.4,2,2,0.71,0.2
cat_aug_167,20,cat_SIA,1.4,SF,LH,SL,4.7,27.3,37.2,4,22.7,40.7,3,2,0.66,8.4
cat_aug_168,20,cat_KOR,5.1,CM,LH,SL,3.4,24.8,29.6,6,18.5,28.7,3,2,1.39,18.2
cat_aug_169,20,cat_ETC,4.6,SF,LH,MS,3.5,19.5,36.3,4,20.9,26.6,3,2,0.5,4.7
cat_aug_170,20,cat_PER,3.2,CM,LH,MS,5.4,35.7,40.9,4,28.7,60.7,3,2,0.6,19.9
cat_aug_171,20,cat_SIA,2.1,IF,LH,SL,2.2,18.2,29.9,4,17.2,27.7,3,2,0.56,11.4
cat_aug_172,20,cat_KOR,5.9,SF,LH,MS,3.3,17.2,34.8,4,21.1,25.7,3,2,0.57,20.0
cat_aug_173,20,cat_ETC,2.9,IM,LH,SL,4.6,29.4,36.4,5,22.6,32.3,3,2,0.53,1.7
cat_aug_174,20,cat_PER,4.0,SF,SH,ML,2.8,21.3,30.0,4,23.0,29.2,2,2,0.52,2.6
cat_aug_175,20,cat_KOR,10.8,CM,SH,ML,2.8,16.1,33.6,4,28.7,30.4,3,2,0.63,18.2
cat_aug_176,20,cat_RUS,1.6,SF,LH,ML,6.8,31.8,39.6,4,26.7,45.2,3,4,0.64,2.9
cat_aug_177,20,cat_ETC,3.6,SF,UK,SS,4.0,20.6,29.0,4,23.4,27.7,3,2,1.18,20.0
cat_aug_178,20,cat_ETC,3.6,SF,LH,SL,2.9,18.9,35.4,7,20.9,27.9,3,4,0.99,20.0
cat_aug_179,20,cat_RUS,4.1,SF,LH,SL,2.9,28.3,35.9,4,29.0,34.0,3,2,0.6,20.0
cat_aug_180,20,cat_PER,1.2,SF,LH,SL,2.8,15.3,32.9,4,18.5,32.4,3,2,0.63,1.8
cat_aug_181,20,cat_KOR,12.0,SF,SH,SL,3.1,26.3,39.0,4,23.3,40.0,3,4,0.54,20.0
cat_aug_182,20,cat_ETC,5.2,CM,LH,ML,4.9,22.9,40.1,4,27.8,30.5,3,2,0.85,10.9
cat_aug_183,20,cat_ETC,2.5,SF,UK,SS,4.0,14.7,36.5,2,21.4,36.3,3,2,0.52,0.3
cat_aug_184,20,cat_ETC,2.1,IF,UK,SS,3.8,22.7,31.6,4,25.1,32.5,3,2,0.83,20.0
cat_aug_185,20,cat_ETC,3.0,SF,LH,ML,3.4,21.9,36.5,4,30.1,30.6,3,2,0.63,20.0
cat_aug_186,20,cat_KOR,7.6,SF,SH,SL,6.5,42.9,38.4,5,29.3,43.5,3,2,0.6,20.0
cat_aug_187,20,cat_ETC,3.4,CM,LH,SL,3.0,18.6,32.3,6,16.0,30.9,1,4,0.64,1.0
cat_aug_188,20,cat_ETC,3.2,SF,UK,SS,2.9,18.3,32.3,7,25.0,26.0,2,2,1.11,12.6
cat_aug_189,20,cat_SIA,2.7,SF,UK,SL,3.2,22.1,36.3,4,19.0,28.3,3,2,0.5,20.0
cat_aug_190,20,cat_KOR,2.2,SF,SH,SL,4.0,20.3,37.4,7,20.5,28.4,2,2,0.58,8.7
cat_aug_191,20,cat_ETC,4.8,SF,LH,ML,4.1,34.6,33.6,4,28.6,34.0,3,2,0.73,20.0
cat_aug_192,20,cat_ETC,5.6,SF,LH,SL,2.2,17.9,28.6,4,23.5,29.2,2,2,0.96,20.0
cat_aug_193,20,cat_ETC,1.7,CM,LH,ML,6.5,38.8,33.4,4,33.0,47.0,3,2,0.74,20.0
cat_aug_194,20,cat_ETC,6.0,SF,LH,SL,4.1,16.2,33.7,6,17.0,34.1,1,4,0.97,12.8
cat_aug_195,20,cat_TUR,1.1,SF,LH,SL,3.6,20.7,29.5,4,17.3,30.7,2,2,1.34,18.9
cat_aug_196,20,cat_KOR,1.6,SF,LH,SL,2.8,16.6,30.2,4,23.3,32.5,3,2,0.51,6.0
cat_aug_197,20,cat_ETC,3.5,SF,SH,MS,8.7,32.2,51.7,4,32.9,53.8,3,2,0.56,18.7
cat_aug_198,20,cat_SIA,2.0,CM,LH,SL,5.7,20.9,33.1,4,22.0,30.6,3,4,0.57,14.5
cat_aug_199,20,cat_RUS,2.8,SF,LH,SL,2.4,21.1,28.8,6,23.5,34.8,3,2,1.16,17.4
cat_aug_200,20,cat_ETC,7.4,CM,LH,SS,5.5,26.5,39.1,4,25.9,40.3,3,2,1.11,18.0
cat_aug_201,20,cat_RUS,2.6,SF,LH,SL,2.3,28.7,25.0,4,21.3,41.8,3,2,0.85,20.0
cat_aug_202,20,cat_KOR,4.7,SF,LH,SL,2.9,22.2,36.2,3,21.4,28.2,3,2,0.72,20.0
cat_aug_203,20,cat_PER,3.6,SF,LH,SL,2.7,30.8,32.7,4,24.3,35.5,3,2,1.51,20.0
cat_aug_204,20,cat_ETC,3.4,CM,UK,ML,4.6,20.3,39.6,4,30.2,36.3,3,2,0.68,19.7
cat_aug_205,20,cat_ETC,9.9,IM,UK,ML,7.4,21.1,44.3,2,22.5,47.8,2,4,0.85,17.5
cat_aug_206,20,cat_ETC,0.0,SF,SH,SS,4.1,18.6,31.1,4,20.5,28.7,3,2,0.51,0.0
cat_aug_207,20,cat_KOR,10.9,SF,LH,SL,3.3,17.3,34.5,3,17.0,25.4,1,4,1.56,4.4
cat_aug_208,20,cat_TUR,4.5,CM,UK,SL,3.2,17.9,28.5,5,16.0,23.9,1,4,1.17,10.4
cat_aug_209,20,cat_SIA,2.8,SF,LH,SL,2.6,19.9,30.8,4,20.4,32.4,3,2,0.5,11.8
cat_aug_210,20,cat_SCO,2.1,CM,LH,SL,4.6,18.6,37.8,7,21.8,33.6,2,4,0.97,6.8
cat_aug_211,20,cat_PER,8.5,IM,SH,SS,5.2,31.2,38.3,5,28.5,28.5,3,2,1.91,10.9
cat_aug_212,20,cat_ETC,3.4,CM,SH,ML,8.0,21.3,47.0,4,24.5,36.7,3,2,1.09,20.0
cat_aug_213,20,cat_PER,7.1,SF,LH,SS,3.4,22.5,34.5,5,22.2,36.3,3,4,1.05,20.0
cat_aug_214,20,cat_PER,3.1,CM,UK,SL,6.3,24.5,45.5,2,23.0,30.3,1,4,0.95,9.8
cat_aug_215,20,cat_KOR,6.1,SF,SH,ML,6.4,19.3,45.4,6,18.6,44.7,2,4,1.11,0.3
